	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17890430_GW_Inaug1_p001.txt	2	0.77099767	4	0.049309807	9	0.037985335	3	0.028973514	6	0.021795152	5	0.01982366	8	0.015207752	7	0.013110319	13	0.011457061	10	0.009035365	12	0.00786639	0	0.005492369	11	0.005204545	1	0.003741062	 11 ./17890430_GW_Inaug1_p001.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17890430_GW_Inaug1_p002.txt	2	0.335044771	3	0.278940951	12	0.130957042	7	0.106762859	6	0.099070082	9	0.034670565	4	0.010802417	5	0.001062933	8	8.15E-04	13	6.14E-04	10	4.84E-04	0	2.94E-04	11	2.79E-04	1	2.01E-04	     352 ./17890430_GW_Inaug1_p002.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17890430_GW_Inaug1_p003.txt	3	0.262225093	6	0.222349229	9	0.17578615	2	0.134841503	4	0.105268541	5	0.072134973	1	0.015995506	8	0.008690287	7	6.81E-04	13	5.95E-04	10	4.69E-04	12	4.08E-04	0	2.85E-04	11	2.70E-04	     338 ./17890430_GW_Inaug1_p003.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17890430_GW_Inaug1_p004.txt	6	0.351015091	9	0.242973697	12	0.19713067	4	0.123662747	2	0.044415124	3	0.03484048	5	0.001422769	8	0.001091479	7	9.41E-04	13	8.22E-04	10	6.48E-04	0	3.94E-04	11	3.74E-04	1	2.69E-04	     253 ./17890430_GW_Inaug1_p004.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17890430_GW_Inaug1_p005.txt	2	0.407118323	6	0.359630217	3	0.181744543	4	0.021504436	11	0.016796617	9	0.004054575	5	0.002115988	8	0.001623283	7	0.001399402	13	0.001222933	10	9.64E-04	12	8.40E-04	0	5.86E-04	1	3.99E-04	     155 ./17890430_GW_Inaug1_p005.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17890430_GW_Inaug1_p006.txt	3	0.371114986	6	0.214577859	9	0.201915744	4	0.146290871	5	0.030185887	12	0.014902456	1	0.014518272	8	0.001416268	7	0.001220938	13	0.001066973	2	9.52E-04	10	8.41E-04	0	5.11E-04	11	4.85E-04	     187 ./17890430_GW_Inaug1_p006.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17890430_GW_Inaug1_p007.txt	3	0.376882053	9	0.340654867	2	0.187918039	7	0.057607513	4	0.024715716	6	0.002673834	5	0.00243197	8	0.00186569	13	0.001405554	10	0.00110846	12	9.65E-04	0	6.74E-04	11	6.38E-04	1	4.59E-04	     169 ./17890430_GW_Inaug1_p007.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17890430_GW_Inaug1_p008.txt	2	0.358763594	6	0.234238284	3	0.193188685	5	0.044780012	8	0.04414231	12	0.043128078	4	0.027832959	11	0.02173968	1	0.021537495	9	0.005247792	7	0.001811231	13	0.001582829	10	0.001248264	0	7.59E-04	     124 ./17890430_GW_Inaug1_p008.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17900108_GW_sotu101_p001.txt	2	0.77099767	4	0.049309807	9	0.037985335	3	0.028973514	6	0.021795152	5	0.01982366	8	0.015207752	7	0.013110319	13	0.011457061	10	0.009035365	12	0.00786639	0	0.005492369	11	0.005204545	1	0.003741062	       9 ./17900108_GW_sotu101_p001.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17900108_GW_sotu101_p002.txt	3	0.610030197	11	0.112944827	4	0.07457726	6	0.070520177	12	0.068466357	7	0.02436862	0	0.023245341	9	0.005601002	5	0.002923032	8	0.002242409	13	0.001689363	2	0.001507509	10	0.00133228	1	5.52E-04	      98 ./17900108_GW_sotu101_p002.txt
